config,seed,module,metric,value
A_0fail,0,GridScenario.rsu[0].appl,TIMING_avg_ms,0.095715425
A_0fail,0,GridScenario.rsu[0].appl,TIMING_max_ms,0.292583
A_0fail,0,GridScenario.rsu[0].appl,TIMING_min_ms,0.001333
A_0fail,0,GridScenario.rsu[0].appl,GT_network_waiting,27109
A_0fail,0,GridScenario.rsu[0].appl,L0_replay_rejections,0
A_0fail,0,GridScenario.rsu[0].appl,L0_auth_rejections,0
A_0fail,0,GridScenario.rsu[0].appl,L1B_max_drift_observed,0
A_0fail,0,GridScenario.rsu[0].appl,L1B_drift_rejections,0
A_0fail,0,GridScenario.rsu[0].appl,L1C_max_xcheck_gap,4
A_0fail,0,GridScenario.rsu[0].appl,L1C_avg_xcheck_gap,0.215
A_0fail,0,GridScenario.rsu[0].appl,L1C_xcheck_rejections,0
A_0fail,0,GridScenario.rsu[0].appl,L4_dest_from_v2x,0
A_0fail,0,GridScenario.rsu[0].appl,L4_dest_inside_skipped,0
A_0fail,0,GridScenario.rsu[0].appl,L4_dest_fallback,0
A_0fail,0,GridScenario.rsu[0].appl,GT_waiting_seconds,14939
A_0fail,0,GridScenario.rsu[0].appl,REAL_wait_seconds,165319
A_0fail,0,GridScenario.rsu[0].appl,REAL_distance,9477761.5333424
A_0fail,0,GridScenario.rsu[0].appl,L1A_total_measurements,200
A_0fail,0,GridScenario.rsu[0].appl,L1A_max_queue,175
A_0fail,0,GridScenario.rsu[0].appl,L1A_avg_queue_length,74.695
A_0fail,0,GridScenario.rsu[0].appl,L1A_avg_pressure,75.935
A_0fail,0,GridScenario.rsu[0].appl,L1B_valid_rate_percent,100
A_0fail,0,GridScenario.rsu[0].appl,VEH_total_waiting_seconds,14939
A_0fail,0,GridScenario.rsu[0].appl,L1B_byzantine_detections,0
A_0fail,0,GridScenario.rsu[0].appl,L2_decisions,200
A_0fail,0,GridScenario.rsu[0].appl,L2_avg_green_time,44.55
A_0fail,0,GridScenario.rsu[0].appl,L2_state_light,19
A_0fail,0,GridScenario.rsu[0].appl,L2_state_moderate,14
A_0fail,0,GridScenario.rsu[0].appl,L2_state_heavy,24
A_0fail,0,GridScenario.rsu[0].appl,L2_state_congested,143
A_0fail,0,GridScenario.rsu[0].appl,L3_voting_rounds,200
A_0fail,0,GridScenario.rsu[0].appl,L2_light_actuations,0
A_0fail,0,GridScenario.rsu[0].appl,L3_votes_collected,0
A_0fail,0,GridScenario.rsu[0].appl,L3_avg_voted_green,44.55
A_0fail,0,GridScenario.rsu[0].appl,L4_reroute_commands_sent,0
A_0fail,0,GridScenario.rsu[0].appl,L4_vehicles_rerouted,0
A_0fail,0,GridScenario.rsu[0].appl,L4_greedy_evaluations,0
A_0fail,0,GridScenario.rsu[0].appl,L4_actuations,0
A_0fail,0,GridScenario.rsu[0].appl,L4_candidates_used,0
A_0fail,0,GridScenario.rsu[0].appl,L6_quality_level,100
A_0fail,0,GridScenario.rsu[0].appl,L6_degradation_activations,0
A_0fail,0,GridScenario.rsu[0].appl,L6_speed_guidance_kmh,100
A_0fail,0,GridScenario.rsu[0].appl,L6_coordination_mode,0
A_0fail,0,GridScenario.rsu[0].appl,L5_i_am_failed,0
A_0fail,0,GridScenario.rsu[0].appl,L5_neighbors_tracked,4
A_0fail,0,GridScenario.rsu[0].appl,L5_failures_detected,0
A_0fail,0,GridScenario.rsu[0].appl,L5_false_alarm_recoveries,0
A_0fail,0,GridScenario.rsu[0].appl,L5_first_detection_time,-1
A_0fail,0,GridScenario.rsu[0].appl,L5_pressure_spikes,24
A_0fail,0,GridScenario.rsu[0].appl,generatedWSMs,0
A_0fail,0,GridScenario.rsu[0].appl,receivedWSMs,0
A_0fail,0,GridScenario.rsu[0].appl,generatedBSMs,200
A_0fail,0,GridScenario.rsu[0].appl,receivedBSMs,51094
A_0fail,0,GridScenario.rsu[0].appl,generatedWSAs,0
A_0fail,0,GridScenario.rsu[0].appl,receivedWSAs,0
A_0fail,0,GridScenario.rsu[0].nic.phy80211p,busyTime,0.028655120000021
A_0fail,0,GridScenario.rsu[0].nic.mac1609_4,ReceivedUnicastPackets,0
A_0fail,0,GridScenario.rsu[0].nic.mac1609_4,ReceivedBroadcasts,51094
